"Sygdom";"Regionskode";"Region";"Aldersgruppe";"Køn";"Antal borgere";"Antal testede personer";"Antal Bekræftede tilfælde";"Antal nye indlæggelser";"Antal døde";"Positivprocent";"Bekræftede tilfælde pr. 100.000 borgere";"Testede personer pr. 100.000 borgere";"Nye indlæggelser pr. 100.000 borgere";"timestamp_2025-09-02T11:25:03.875"
INFLB;1081;Nordjylland;75-84;Alle;53181;50;0;0;0;0,00;0,00;94,02;0,00;
INFLB;1081;Nordjylland;75-84;K;28066;26;0;0;0;0,00;0,00;92,64;0,00;
INFLB;1081;Nordjylland;75-84;M;25115;24;0;0;0;0,00;0,00;95,56;0,00;
INFLB;1081;Nordjylland;85+;Alle;16564;19;0;0;0;0,00;0,00;114,71;0,00;
INFLB;1081;Nordjylland;85+;K;10022;7;0;0;0;0,00;0,00;69,85;0,00;
INFLB;1081;Nordjylland;85+;M;6542;12;0;0;0;0,00;0,00;183,43;0,00;
INFLB;1081;Nordjylland;Alle;Alle;591828;159;0;0;0;0,00;0,00;26,87;0,00;
INFLB;1081;Nordjylland;Alle;K;293532;73;0;0;0;0,00;0,00;24,87;0,00;
INFLB;1081;Nordjylland;Alle;M;298296;86;0;0;0;0,00;0,00;28,83;0,00;
INFLB;1085;Sjælland;00-01;Alle;14195;13;0;0;0;0,00;0,00;91,58;0,00;
INFLB;1085;Sjælland;00-01;K;6874;8;0;0;0;0,00;0,00;116,38;0,00;
INFLB;1085;Sjælland;00-01;M;7321;5;0;0;0;0,00;0,00;68,30;0,00;
INFLB;1085;Sjælland;02-06;Alle;41902;8;0;0;0;0,00;0,00;19,09;0,00;
INFLB;1085;Sjælland;02-06;K;20408;4;0;0;0;0,00;0,00;19,60;0,00;
INFLB;1085;Sjælland;02-06;M;21494;4;0;0;0;0,00;0,00;18,61;0,00;
INFLB;1085;Sjælland;07-14;Alle;71226;7;0;0;0;0,00;0,00;9,83;0,00;
INFLB;1085;Sjælland;07-14;K;34626;5;0;0;0;0,00;0,00;14,44;0,00;
INFLB;1085;Sjælland;07-14;M;36600;2;0;0;0;0,00;0,00;5,46;0,00;
INFLB;1085;Sjælland;15-44;Alle;278238;28;0;0;0;0,00;0,00;10,06;0,00;
INFLB;1085;Sjælland;15-44;K;134779;15;0;0;0;0,00;0,00;11,13;0,00;
INFLB;1085;Sjælland;15-44;M;143459;13;0;0;0;0,00;0,00;9,06;0,00;
INFLB;1085;Sjælland;45-64;Alle;240616;50;0;0;0;0,00;0,00;20,78;0,00;
INFLB;1085;Sjælland;45-64;K;120948;26;0;0;0;0,00;0,00;21,50;0,00;
INFLB;1085;Sjælland;45-64;M;119668;24;0;0;0;0,00;0,00;20,06;0,00;
INFLB;1085;Sjælland;65-74;Alle;102536;45;0;0;0;0,00;0,00;43,89;0,00;
INFLB;1085;Sjælland;65-74;K;52917;17;0;0;0;0,00;0,00;32,13;0,00;
INFLB;1085;Sjælland;65-74;M;49619;28;0;0;0;0,00;0,00;56,43;0,00;
INFLB;1085;Sjælland;75-84;Alle;81937;88;1;1;0;0,01;1,22;107,40;1,22;
INFLB;1085;Sjælland;75-84;K;44190;41;0;0;0;0,00;0,00;92,78;0,00;
INFLB;1085;Sjælland;75-84;M;37747;47;1;1;0;0,02;2,65;124,51;2,65;
INFLB;1085;Sjælland;85+;Alle;23576;30;0;0;0;0,00;0,00;127,25;0,00;
INFLB;1085;Sjælland;85+;K;14354;10;0;0;0;0,00;0,00;69,67;0,00;
INFLB;1085;Sjælland;85+;M;9222;20;0;0;0;0,00;0,00;216,87;0,00;
INFLB;1085;Sjælland;Alle;Alle;854226;269;1;1;0;0,00;0,12;31,49;0,12;
INFLB;1085;Sjælland;Alle;K;429096;126;0;0;0;0,00;0,00;29,36;0,00;
INFLB;1085;Sjælland;Alle;M;425130;143;1;1;0;0,01;0,24;33,64;0,24;
INFLB;1083;Syddanmark;00-01;Alle;22345;5;0;0;0;0,00;0,00;22,38;0,00;
INFLB;1083;Syddanmark;00-01;K;10831;0;0;0;0;0,00;0,00;0,00;0,00;
INFLB;1083;Syddanmark;00-01;M;11514;5;0;0;0;0,00;0,00;43,43;0,00;
INFLB;1083;Syddanmark;02-06;Alle;62369;4;0;0;0;0,00;0,00;6,41;0,00;
INFLB;1083;Syddanmark;02-06;K;30355;3;0;0;0;0,00;0,00;9,88;0,00;
INFLB;1083;Syddanmark;02-06;M;32014;1;0;0;0;0,00;0,00;3,12;0,00;
INFLB;1083;Syddanmark;07-14;Alle;104643;7;0;0;0;0,00;0,00;6,69;0,00;
INFLB;1083;Syddanmark;07-14;K;50845;2;0;0;0;0,00;0,00;3,93;0,00;
INFLB;1083;Syddanmark;07-14;M;53798;5;0;0;0;0,00;0,00;9,29;0,00;
INFLB;1083;Syddanmark;15-44;Alle;432318;37;0;0;0;0,00;0,00;8,56;0,00;
INFLB;1083;Syddanmark;15-44;K;209426;18;0;0;0;0,00;0,00;8,59;0,00;
INFLB;1083;Syddanmark;15-44;M;222892;19;0;0;0;0,00;0,00;8,52;0,00;
INFLB;1083;Syddanmark;45-64;Alle;330169;56;0;0;0;0,00;0,00;16,96;0,00;
INFLB;1083;Syddanmark;45-64;K;165306;29;0;0;0;0,00;0,00;17,54;0,00;
INFLB;1083;Syddanmark;45-64;M;164863;27;0;0;0;0,00;0,00;16,38;0,00;
INFLB;1083;Syddanmark;65-74;Alle;142814;42;0;0;0;0,00;0,00;29,41;0,00;
INFLB;1083;Syddanmark;65-74;K;72999;13;0;0;0;0,00;0,00;17,81;0,00;
INFLB;1083;Syddanmark;65-74;M;69815;29;0;0;0;0,00;0,00;41,54;0,00;
INFLB;1083;Syddanmark;75-84;Alle;109538;76;0;0;0;0,00;0,00;69,38;0,00;
INFLB;1083;Syddanmark;75-84;K;58592;29;0;0;0;0,00;0,00;49,49;0,00;
INFLB;1083;Syddanmark;75-84;M;50946;47;0;0;0;0,00;0,00;92,25;0,00;
INFLB;1083;Syddanmark;85+;Alle;35298;38;0;0;0;0,00;0,00;107,65;0,00;
INFLB;1083;Syddanmark;85+;K;21737;21;0;0;0;0,00;0,00;96,61;0,00;
INFLB;1083;Syddanmark;85+;M;13561;17;0;0;0;0,00;0,00;125,36;0,00;
INFLB;1083;Syddanmark;Alle;Alle;1239494;265;0;0;0;0,00;0,00;21,38;0,00;
INFLB;1083;Syddanmark;Alle;K;620091;115;0;0;0;0,00;0,00;18,55;0,00;
INFLB;1083;Syddanmark;Alle;M;619403;150;0;0;0;0,00;0,00;24,22;0,00;
